Game,Expansions,Player,Birds,Bonus Cards,End of Round Goals,Eggs,Food on Cards,Tucked Cards,Nectar,Duet Tokens,Total
1,EE,Yizhou,28,6,7,26,0,26,0,0,93
1,EE,Sam,30,7,12,13,0,41,0,0,103
1,EE,Camille,38,6,9,13,0,8,0,0,74
1,EE,Matt,32,7,7,25,1,19,0,0,91
2,EE,Camille,34,6,20,22,5,7,0,0,94
2,EE,Matt,37,13,10,24,0,19,0,0,103
3,EE,Matt,30,11,16,10,5,7,0,0,79
3,EE,Camille,31,0,8,14,5,7,0,0,65
4,EE,Matt,45,6,6,0,0,28,0,0,85
4,EE,Camille,44,0,16,18,3,10,0,0,91
5,EE,Matt,37,10,17,22,3,15,0,0,104
5,EE,Camille,31,3,14,7,0,17,0,0,72
6,EE,Jon,32,4,9,12,7,27,0,0,91
6,EE,Matt,52,10,16,15,0,8,0,0,101
6,EE,Joy,37,3,5,16,0,4,0,0,65
6,EE,Camille,34,9,13,20,0,25,0,0,101
7,EE,Matt,47,10,16,16,0,7,0,0,96
7,EE,Camille,31,4,16,1,0,15,0,0,67
8,EE,Matt,26,8,13,23,0,16,0,0,86
8,EE,Camille,30,4,16,5,9,13,0,0,77
9,EE,Matt,26,10,10,4,0,32,0,0,82
9,EE,Camille,41,6,15,3,1,9,0,0,75
10,EE,Matt,67,6,12,2,0,6,0,0,93
10,EE,Camille,35,3,19,15,0,17,0,0,0
11,EE,Matt,34,6,13,6,2,29,0,0,90
11,EE,Camille,35,0,16,10,0,30,0,0,91
12,EE,Matt,43,6,16,2,14,15,0,0,96
12,EE,Camille,40,4,12,9,0,7,0,0,72
13,EE,T,35,3,14,20,0,4,0,0,76
13,EE,Matt,39,4,18,13,6,12,0,0,92
13,EE,Camille,29,4,5,19,0,20,0,0,77
14,EE,Matt,44,3,18,25,0,1,0,0,91
14,EE,Camille,34,11,15,21,10,15,0,0,106
15,EE,J,42,17,12,1,1,0,0,0,73
15,EE,B,41,2,7,10,11,11,0,0,82
15,EE,A,52,9,8,7,0,3,0,0,79
15,EE,T,38,4,10,18,0,6,0,0,76
15,EE,Matt,32,0,7,19,0,42,0,0,100
16,EE,Matt,44,3,19,10,0,21,0,0,97
16,EE,Camille,40,11,16,2,0,13,0,0,82
17,EE,Matt,48,22,16,4,0,12,0,0,102
17,EE,Camille,38,7,19,10,3,0,0,0,77
18,EE,Matt,29,2,16,18,0,13,0,0,78
18,EE,Camille,44,6,16,8,0,6,0,0,80
19,EE,Matt,37,9,14,24,0,7,0,0,91
19,EE,Camille,29,11,20,19,2,3,0,0,84
20,EE,Matt,22,4,18,23,0,27,0,0,94
20,EE,Camille,30,8,15,6,0,2,0,0,61
21,EE,Matt,35,7,18,18,0,23,0,0,101
21,EE,Camille,33,6,15,11,0,3,0,0,68
22,EE,Matt,39,7,4,16,8,0,0,0,74
22,EE,Camille,43,0,6,4,2,4,0,0,59
22,EE,Dad,43,3,13,6,6,5,0,0,76
22,EE,Mom,32,6,6,13,0,3,0,0,60
23,EE,Matt,29,8,12,2,1,41,0,0,93
23,EE,Camille,25,7,21,6,1,11,0,0,71
24,EE,Matt,37,10,19,29,4,5,0,0,104
24,EE,Camille,37,6,9,3,0,23,0,0,78
25,"EE,OE",Matt,41,8,21,17,1,7,12,0,107
25,"EE,OE",Camille,40,4,18,11,0,11,7,0,91
26,"EE,OE",Matt,40,8,21,11,0,23,12,0,115
26,"EE,OE",Camille,19,3,16,12,0,35,7,0,92
27,"EE,OE",Matt,50,5,13,8,1,15,7,0,99
27,"EE,OE",Camille,44,3,16,20,0,24,9,0,116
28,"EE,OE",Matt,41,2,11,0,0,49,7,0,110
28,"EE,OE",Camille,29,3,6,9,9,33,12,0,101
29,"EE,OE",Matt,45,12,15,21,3,18,9,0,123
29,"EE,OE",Camille,31,7,15,6,0,33,10,0,102
30,"EE,OE",Matt,59,9,16,9,0,7,15,0,115
30,"EE,OE",Camille,30,3,16,21,2,10,4,0,86
31,"EE,OE",Matt,51,9,16,4,20,7,9,0,116
31,"EE,OE",Camille,35,0,14,10,3,18,12,0,92
32,"EE,OE",Matt,37,6,13,17,0,13,5,0,91
32,"EE,OE",Camille,35,6,16,12,3,14,13,0,99
33,"EE,OE",Matt,35,5,18,12,3,32,12,0,117
33,"EE,OE",Camille,37,14,19,21,0,1,9,0,101
34,"EE,OE,AE",Matt,50,11,23,25,0,24,9,0,142
34,"EE,OE,AE",Camille,45,17,11,19,1,13,12,0,118
35,"EE,OE,AE",Matt,52,7,20,8,3,9,7,0,106
35,"EE,OE,AE",Camille,33,11,18,9,7,10,10,0,98
36,"EE,OE,AE",Matt,41,8,17,15,0,14,12,0,107
36,"EE,OE,AE",Camille,34,6,23,14,0,2,9,0,88
37,AE,Matt,35,3,11,16,2,22,0,4,93
37,AE,Camille,32,3,3,6,5,23,0,3,75
37,AE,Matt,34,13,1,16,13,10,0,2,89
37,AE,Camille,39,3,13,5,2,19,0,3,84
37,AE,Matt,27,3,10,19,17,19,0,7,102
37,AE,Camille,31,7,4,1,6,29,0,5,83
37,AE,Matt,38,3,7,27,15,9,0,6,105
37,AE,Camille,46,13,7,19,18,13,0,6,122
37,AE,Matt,39,6,10,25,6,13,0,6,105
37,AE,Camille,31,4,4,14,18,4,0,3,78
37,AE,Matt,34,0,9,29,0,3,0,4,79
37,AE,Camille,28,3,5,4,16,26,0,3,85
38,EE,Matt,31,6,14,17,4,1,0,0,73
38,EE,Camille,31,4,17,8,5,6,0,0,71
39,EE,Matt,46,21,10,14,0,5,0,0,96
39,EE,Camille,42,7,22,11,6,0,0,0,88
40,EE,Matt,42,7,16,19,0,7,0,0,91
40,EE,Camille,38,6,16,11,0,7,0,0,78